author,title,description,url,date
"Stephanie Ebbs, John Brownstein","With older Americans largely vaccinated, more new COVID-19 cases among younger adults","As more older Americans get vaccinated, there's an increasing number of new COVID-19 cases impacting younger adults, prompting warnings that Americans remain vigilant.",https://abcnews.go.com/Politics/older-americans-largely-vaccinated-covid-19-cases-younger/story?id=76777363,2021-03-31T09:37:31Z
LAURAN NEERGAARD AP Medical Writer,EXPLAINER: What's known about COVID vaccines and rare clots,"Health authorities are investigating highly unusual blood clots after use of two COVID-19 vaccines, and a rare immune response is the main suspect",https://abcnews.go.com/Technology/wireStory/explainer-covid-vaccines-rare-clots-77050743,2021-04-13T19:17:28Z
TOM KRISHER AP Auto Writer,AP source: Virus surge in Michigan slows Ram truck plant,"Michigan’s worst-in-the-nation Covid-19 outbreak is starting to affect automotive production, with a major Ram pickup truck plant slowing its output due to a large number of absent workers",https://abcnews.go.com/Business/wireStory/ap-source-virus-surge-michigan-slows-ram-truck-77124625,2021-04-16T19:47:02Z
ELAINE KURTENBACH AP Business Writer,Asian shares mostly higher; Tokyo slips as virus cases surge,Shares are mostly higher in Asia though Tokyo's benchmark fell as reports of rising coronavirus cases raised alarm over another setback in the recovery from the pandemic,https://abcnews.go.com/Business/wireStory/asian-shares-higher-tokyo-slips-virus-cases-surge-76940137,2021-04-08T07:01:01Z
IGNATIUS SSUUNA and RODNEY MUHUMUZA Associated Press,Rwanda recalls genocide as France seeks to reset relations,"Rwandans are marking 27 years since the genocide in somber commemoration events Wednesday, as France reevaluates its role and opens its archives from the period to the general public",https://abcnews.go.com/International/wireStory/rwanda-recalls-genocide-france-seeks-reset-relations-76919545,2021-04-07T11:22:43Z
KEN SWEET AP Business Writer,Banks to see big profits as COVID 'bad' loans become 'good',The nation’s largest banks are expected to report big profits for the first quarter amid renewed confidence that pandemic-battered consumers and businesses can repay their debts and start borrowing again,https://abcnews.go.com/Business/wireStory/banks-big-profits-covid-bad-loans-good-77047621,2021-04-13T16:39:20Z
The Associated Press,Albania: Flight control strike triggers political backlash,"Albania’s prime minister threatened legal action against air traffic controllers at the country’s one international airport, who have gone on strike to press for higher pay",https://abcnews.go.com/International/wireStory/albania-flight-control-strike-triggers-political-backlash-76921397,2021-04-07T13:08:44Z
PAN PYLAS Associated Press,UK supermarket giant Tesco sees profit dented by COVID costs,"Britain’s biggest supermarket, Tesco, says its profits slid by a fifth over the past year as higher costs related to the coronavirus pandemic offset “exceptionally strong” sales growth",https://abcnews.go.com/International/wireStory/uk-supermarket-giant-tesco-sees-profit-dented-covid-77062276,2021-04-14T09:31:30Z
Meredith Deliso,"MLB's opening day marked by a COVID-19 postponement, weather impacts and limited fans",COVID-19- and weather-related postponements and limited but enthusiastic fans marked MLB's highly anticipated opening day.,https://abcnews.go.com/Sports/mlbs-opening-day-marked-covid-19-postponement-weather/story?id=76818575,2021-04-02T00:07:03Z
The Associated Press,Delta joins other US airlines in ending empty middle seats,"Delta Air Lines will stop blocking middle seats in May, meaning that no more U.S. airlines will limit capacity on flights to reduce the risk of spreading COVID-19",https://abcnews.go.com/Travel/wireStory/delta-joins-us-airlines-ending-empty-middle-seats-76789861,2021-03-31T14:58:14Z
The Associated Press,The Latest: NZ requiring border workers get doses this month,New Zealand is requiring that all border workers be vaccinated against the coronavirus by the end of the month,https://abcnews.go.com/Health/wireStory/latest-nz-requiring-border-workers-doses-month-77015872,2021-04-12T05:57:40Z
MAURICIO SAVARESE Associated Press,Brazil court greenlights probe of president's virus response,Brazil’s Supreme Court has allowed a Senate investigation of President Jair Bolsonaro’s handling of the pandemic to go forward,https://abcnews.go.com/International/wireStory/brazil-court-greenlights-probe-presidents-virus-response-77076153,2021-04-14T21:02:30Z
KAREL JANICEK Associated Press,"Longest-serving bookseller among 25,000 Czech virus victims","A year after the Czech Republic recorded its first death from the coronavirus, the central European nation paused this week to remember all the citizens who lost their lives in the pandemic",https://abcnews.go.com/Health/wireStory/longest-serving-bookseller-25000-czech-virus-victims-76732318,2021-03-28T07:10:53Z
LISSETTE ROMERO  Associated Press,"Mexico tops 200,000 COVID-19 deaths, but real toll is higher","As Mexico surpasses 200,000 test-confirmed deaths from COVID-19, President Andrés Manuel López Obrador has framed ramped up vaccination efforts as a race against time",https://abcnews.go.com/Health/wireStory/mexico-tops-200000-covid-19-deaths-real-toll-76693668,2021-03-26T01:17:31Z
Ben Gittleson,Biden administration allows access to border facility -- but not ones over capacity,"The Biden administration let journalists into a border facility housing young migrants, but continues to keep reporters out of other crowded detention-like facilities.",https://abcnews.go.com/Politics/biden-administration-access-border-facility-capacity/story?id=76662203,2021-03-24T23:20:58Z
RUSS BYNUM and ANNIE MA Associated Press,More Black Americans open to vaccines after outreach efforts,More Black Americans say they are open to taking the coronavirus vaccine,https://abcnews.go.com/Health/wireStory/black-americans-open-vaccines-outreach-efforts-76993516,2021-04-10T13:48:05Z
ROB GILLIES Associated Press,Toronto schools shutdown amid third wave of infections,Schools in Canada’s largest city will shut down Wednesday and move to online learning because of a third surge of coronavirus infections fueled by more-contagious virus variants,https://abcnews.go.com/Health/wireStory/toronto-schools-shutdown-amid-wave-infections-76911921,2021-04-07T00:19:14Z
The Associated Press,EU approves $4.7 billion in state aid to carrier Air France,The European Union has approved $4.7 billion in government aid for national carrier Air France as it struggles through the economic impact of the COVID-19 pandemic,https://abcnews.go.com/International/wireStory/eu-approves-47-billion-state-aid-carrier-air-76893694,2021-04-06T07:02:45Z
LYNN ELBER AP Television Writer,Pre-taped SAG Awards go for spirit of live ceremonies past,"With the Screen Actors Guild Awards days away, producers gathered for final appraisal of a montage honoring the nominees that include Olivia Colman, Sacha Baron Cohen and the late Chadwick Boseman",https://abcnews.go.com/Entertainment/wireStory/pre-taped-sag-awards-spirit-live-ceremonies-past-76790911,2021-03-31T15:39:57Z
